component,source_file,function,ghidra_address,target_module,port_status,parity_evidence,notes
cgame,cgame_bg.c,BG_WeaponIsPrimaryForClassAndTeam,,,untriaged,,
cgame,cgame_bg.c,BG_TeamName,,,untriaged,,
cgame,cgame_bg.c,BG_ShortClassnameForNumber,,,untriaged,,
cgame,cgame_bg.c,BG_ClassnameForNumber,,,untriaged,,
cgame,cgame_bg.c,BG_ClassnameForNumber_Filename,,,untriaged,,
cgame,cgame_bg.c,BG_ClassSkillForClass,,,untriaged,,
cgame,cgame_bg.c,BG_SS_ParseError,,,untriaged,,
cgame,cgame_bg.c,BG_ClearScriptSpeakerPool,,,untriaged,,
cgame,cgame_bg.c,BG_NumScriptSpeakers,,,untriaged,,
cgame,cgame_bg.c,BG_GetIndexForSpeaker,,,untriaged,,
cgame,cgame_bg.c,BG_GetScriptSpeaker,,,untriaged,,
cgame,cgame_bg.c,BG_SS_DeleteSpeaker,,,untriaged,,
cgame,cgame_bg.c,BG_SS_StoreSpeaker,,,untriaged,,
cgame,cgame_bg.c,BG_LoadSpeakerScript,,,untriaged,,
cgame,cgame_bg.c,BG_WeapStatForWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_GetStatGoombas,,,untriaged,,
cgame,cgame_bg.c,BG_SetStatGoombas,,,untriaged,,
cgame,cgame_bg.c,BG_GetStatBestSpree,,,untriaged,,
cgame,cgame_bg.c,BG_SetStatBestSpree,,,untriaged,,
cgame,cgame_bg.c,BG_GetKillSpree,,,untriaged,,
cgame,cgame_bg.c,BG_SetKillSpree,,,untriaged,,
cgame,cgame_bg.c,BG_AdjustKillSpree,,,untriaged,,
cgame,cgame_bg.c,BG_AdjustGoombas,,,untriaged,,
cgame,cgame_bg.c,BG_LoadTraceMap,,,untriaged,,
cgame,cgame_bg.c,BG_GetSkyHeightAtPoint,,,untriaged,,
cgame,cgame_bg.c,BG_GetSkyGroundHeightAtPoint,,,untriaged,,
cgame,cgame_bg.c,BG_GetGroundHeightAtPoint,,,untriaged,,
cgame,cgame_bg.c,BG_GetTracemapGroundFloor,,,untriaged,,
cgame,cgame_bg.c,BG_RW_ParseError,,,untriaged,,
cgame,cgame_bg.c,BG_ParseWeaponConfig,,,untriaged,,
cgame,cgame_bg.c,BG_RW_ParseDefinition,,,untriaged,,
cgame,cgame_bg.c,BG_RegisterWeaponFromWeaponFile,,,untriaged,,
cgame,cgame_bg.c,BG_RegisterWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_IsFile,,,untriaged,,
cgame,cgame_bg.c,BG_IsDirectory,,,untriaged,,
cgame,cgame_bg.c,BG_DeleteFile,,,untriaged,,
cgame,cgame_bg.c,BG_RenameFile,,,untriaged,,
cgame,cgame_bg.c,PC_Char_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_Script_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_String_Parse_Trans,,,untriaged,,
cgame,cgame_bg.c,PC_Rect_Parse,,,untriaged,,
cgame,cgame_bg.c,BG_RectContainsPoint,,,untriaged,,
cgame,cgame_bg.c,BG_CursorInRect,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButton_RenderEdit,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButton_EditClick,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsKeyEvent,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsSetup,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsGetHighlightButton,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsRender,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsRender_TextExt,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsRender_Text,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtonsRender_Img,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtons_GetFocusButton,,,untriaged,,
cgame,cgame_bg.c,BG_PanelButtons_SetFocusButton,,,untriaged,,
cgame,cgame_bg.c,BG_FitTextToWidth_Ext,,,untriaged,,
cgame,cgame_client.c,CG_RW_ParseViewType,,,untriaged,,
cgame,cgame_client.c,CG_ContinueWeaponAnim,,,untriaged,,
cgame,cgame_client.c,CG_GenerateTracemap,,,untriaged,,
cgame,cgame_client.c,CG_EffectGust,,,untriaged,,
cgame,cgame_client.c,CG_SnowParticleGenerate,,,untriaged,,
cgame,cgame_client.c,CG_RainParticleGenerate,,,untriaged,,
cgame,cgame_client.c,CG_SnowParticleCheckVisible,,,untriaged,,
cgame,cgame_client.c,CG_RainParticleCheckVisible,,,untriaged,,
cgame,cgame_client.c,CG_SnowParticleRender,,,untriaged,,
cgame,cgame_client.c,CG_RainParticleRender,,,untriaged,,
cgame,cgame_client.c,CG_AtmosphericKludge,,,untriaged,,
cgame,cgame_client.c,CG_EffectParse,,,untriaged,,
cgame,cgame_client.c,CG_RegisterCharacter,,,untriaged,,
cgame,cgame_client.c,CG_CharacterForClientinfo,,,untriaged,,
cgame,cgame_client.c,CG_CharacterForPlayerstate,,,untriaged,,
cgame,cgame_client.c,CG_RegisterPlayerClasses,,,untriaged,,
cgame,cgame_client.c,CG_CommandCentreSpawnPointClick_part_3,,,untriaged,,
cgame,cgame_client.c,CG_TransformToCommandMapCoord,,,untriaged,,
cgame,cgame_client.c,CG_CurLayerForZ,,,untriaged,,
cgame,cgame_client.c,CG_TransformAutomapEntity,,,untriaged,,
cgame,cgame_client.c,CG_DisguiseMapCheck,,,untriaged,,
cgame,cgame_client.c,CG_DrawMapEntity,,,untriaged,,
cgame,cgame_client.c,CG_ScanForCommandCentreEntity,,,untriaged,,
cgame,cgame_client.c,CG_CommandCentreLayersClick,,,untriaged,,
cgame,cgame_client.c,CG_CommandCentreSpawnPointClick,,,untriaged,,
cgame,cgame_client.c,CG_CommandCentreClick,,,untriaged,,
cgame,cgame_client.c,CG_CommandMap_SetHighlightText,,,untriaged,,
cgame,cgame_client.c,CG_CommandMap_DrawHighlightText,,,untriaged,,
cgame,cgame_client.c,CG_ToggleAutomap_f,,,untriaged,,
cgame,cgame_client.c,CG_ResetMaxSpeed_f,,,untriaged,,
cgame,cgame_client.c,CG_QuickMessage_f,,,untriaged,,
cgame,cgame_client.c,CG_dumpStats_f,,,untriaged,,
cgame,cgame_client.c,CG_ForceTapOut_f,,,untriaged,,
cgame,cgame_client.c,CG_currentTime_f,,,untriaged,,
cgame,cgame_client.c,CG_Viewpos_f,,,untriaged,,
cgame,cgame_client.c,CG_autoRecord_f,,,untriaged,,
cgame,cgame_client.c,CG_SayPlayerClass_f,,,untriaged,,
cgame,cgame_client.c,CG_keyOn_f,,,untriaged,,
cgame,cgame_client.c,CG_ResetTimer_f,,,untriaged,,
cgame,cgame_client.c,CG_TimerSet_f,,,untriaged,,
cgame,cgame_client.c,CG_SetWeaponCrosshair_f,,,untriaged,,
cgame,cgame_client.c,CG_CPM_f,,,untriaged,,
cgame,cgame_client.c,CG_UndoSpeaker_f,,,untriaged,,
cgame,cgame_client.c,CG_ModifySpeaker_f,,,untriaged,,
cgame,cgame_client.c,CG_AutomapZoomOut_f,,,untriaged,,
cgame,cgame_client.c,CG_AutomapZoomIn_f,,,untriaged,,
cgame,cgame_client.c,CG_SelectBuddy_f,,,untriaged,,
cgame,cgame_client.c,CG_FTSayPlayerClass_f,,,untriaged,,
cgame,cgame_client.c,CG_MessageSend_f,,,untriaged,,
cgame,cgame_client.c,CG_StatsUp_f,,,untriaged,,
cgame,cgame_client.c,CG_topshotsUp_f,,,untriaged,,
cgame,cgame_client.c,CG_ScoresUp_f,,,untriaged,,
cgame,cgame_client.c,CG_AutomapExpandDown_f,,,untriaged,,
cgame,cgame_client.c,CG_AutomapExpandUp_f,,,untriaged,,
cgame,cgame_client.c,CG_keyOff_f,,,untriaged,,
cgame,cgame_client.c,CG_ClassMenu_f,,,untriaged,,
cgame,cgame_client.c,CG_QuickFireteamAdmin_f,,,untriaged,,
cgame,cgame_client.c,CG_topshotsDown_f,,,untriaged,,
cgame,cgame_client.c,CG_ScoresDown_f,,,untriaged,,
cgame,cgame_client.c,CG_StatsDown_f,,,untriaged,,
cgame,cgame_client.c,CG_autoScreenShot_f,,,untriaged,,
cgame,cgame_client.c,CG_vstrDown_f,,,untriaged,,
cgame,cgame_client.c,CG_vstrUp_f,,,untriaged,,
cgame,cgame_client.c,CG_TeamVoiceChat_f,,,untriaged,,
cgame,cgame_client.c,CG_VoiceChat_f,,,untriaged,,
cgame,cgame_client.c,CG_MessageMode_f,,,untriaged,,
cgame,cgame_client.c,CG_DumpSpeaker_f,,,untriaged,,
cgame,cgame_client.c,CG_EditSpeakers_f,,,untriaged,,
cgame,cgame_client.c,CG_QuickFireteams_f,,,untriaged,,
cgame,cgame_client.c,CG_BuddyVoiceChat_f,,,untriaged,,
cgame,cgame_client.c,CG_Class_f,,,untriaged,,
cgame,cgame_client.c,CG_QuickFireteamMessage_f,,,untriaged,,
cgame,cgame_client.c,CG_wStatsDown_f,,,untriaged,,
cgame,cgame_client.c,CG_wStatsUp_f,,,untriaged,,
cgame,cgame_client.c,CG_toggleSpecHelp_f,,,untriaged,,
cgame,cgame_client.c,CG_parseMapVoteListInfo,,cgame/cg_nitmod_mapvote.c,ported,control-flow/protocol-tests,Typed bounded parser for original immaplist records.
cgame,cgame_client.c,CG_parseMapVoteTally,,cgame/cg_nitmod_mapvote.c,ported,control-flow/protocol-tests,Bounded original imvotetally parser.
cgame,cgame_client.c,CG_SortPlayersByXP,,,untriaged,,
cgame,cgame_client.c,CG_TeamDebriefingMapWinner_Draw,,,untriaged,,
cgame,cgame_client.c,CG_TeamDebriefingMapList_Draw,,,untriaged,,
cgame,cgame_client.c,CG_MapVoteList_Draw,,cgame/cg_nitmod_mapvote.c,ported,control-flow/source-build,Scrollable 19-row original-protocol map list and tally display.
cgame,cgame_client.c,CG_TeamDebriefingOutcome_Draw,,,untriaged,,
cgame,cgame_client.c,CG_TeamDebriefingMapList_KeyDown,,,untriaged,,
cgame,cgame_client.c,CG_MapVote_VoteButton_KeyDown,,cgame/cg_nitmod_mapvote.c,ported,control-flow/protocol-tests,Validated original single-vote request.
cgame,cgame_client.c,CG_MapVote_MultiVoteButton_KeyDown,,cgame/cg_nitmod_mapvote.c,ported,control-flow/protocol-tests,Three bounded choices with duplicate rejection.
cgame,cgame_client.c,CG_TeamDebriefingMapShot_Draw,,,untriaged,,
cgame,cgame_client.c,CG_MapVoteList_KeyDown,,cgame/cg_nitmod_mapvote.c,ported,control-flow/source-build,Typed mouse row selection plus wheel and keyboard scrolling.
cgame,cgame_client.c,CG_TeamDebriefing_CalcXP_constprop_18,,,untriaged,,
cgame,cgame_client.c,CG_PanelButtonsRender_Window,,,untriaged,,
cgame,cgame_client.c,CG_PanelButtonsRender_Button,,,untriaged,,
cgame,cgame_client.c,CG_MapVote_VoteButton_Draw,,cgame/cg_nitmod_mapvote.c,ported,control-flow/source-build,Explicit single-vote control integrated into debriefing.
cgame,cgame_client.c,CG_ChatPanel_Setup,,,untriaged,,
cgame,cgame_client.c,CG_MapVote_SetSelectedMap,,cgame/cg_nitmod_mapvote.c,ported,control-flow/source-build,Validated selection and levelshot fallback.
cgame,cgame_client.c,CG_Debrieing_SetSelectedClient,,,untriaged,,
cgame,cgame_client.c,CG_TeamDebriefing_CalcXP,,,untriaged,,
cgame,cgame_client.c,CG_TeamDebriefingTeamSkillXP_Draw,,,untriaged,,
cgame,cgame_client.c,CG_TeamDebriefingTeamXP_Draw,,,untriaged,,
cgame,cgame_client.c,CG_PanelButtonsRender_Button_Ext,,,untriaged,,
cgame,cgame_client.c,CG_MapVote_MultiVoteButton_Draw,,cgame/cg_nitmod_mapvote.c,ported,control-flow/source-build,Three original multi-vote controls.
cgame,cgame_client.c,CG_PanelButtonsRender_Window_Ext,,,untriaged,,
cgame,cgame_client.c,CG_Debreifing2_WinStringForTeam,,,untriaged,,
cgame,cgame_client.c,CG_Debreifing2_Maps_Draw,,,untriaged,,
cgame,cgame_client.c,CG_Debreifing2_MissionTitle_Draw,,,untriaged,,
cgame,cgame_client.c,CG_Debreifing2_Mission_Draw,,,untriaged,,
cgame,cgame_client.c,CG_Coronas_part_4,,,untriaged,,
cgame,cgame_client.c,CG_PickupItemText,,,untriaged,,
cgame,cgame_client.c,CG_PickupItemTextShort,,,untriaged,,
cgame,cgame_client.c,CG_CenterPrint,,,untriaged,,
cgame,cgame_client.c,CG_PrintAnnouncement,,,untriaged,,
cgame,cgame_client.c,CG_ScanForCrosshairMine,,,untriaged,,
cgame,cgame_client.c,CG_ScanForCrosshairDynamite,,,untriaged,,
cgame,cgame_client.c,CG_CheckForCursorHints,,,untriaged,,
cgame,cgame_client.c,CG_CrosshairClientMaxHealth,,,untriaged,,
cgame,cgame_client.c,CG_CalculateReinfTime_Float,,,untriaged,,
cgame,cgame_client.c,CG_CalculateReinfTime,,,untriaged,,
cgame,cgame_client.c,CG_ObjectivePrint,,,untriaged,,
cgame,cgame_client.c,CG_CheckDisguise,,,untriaged,,
cgame,cgame_client.c,CG_ClassSkillForPosition,,,untriaged,,
cgame,cgame_client.c,CG_StatsDebugAddText,,,untriaged,,
cgame,cgame_client.c,CG_BannerPrint,,,untriaged,,
cgame,cgame_client.c,CG_StartShakeCamera,,,untriaged,,
cgame,cgame_client.c,CG_ShakeCamera,,,untriaged,,
cgame,cgame_client.c,CG_Coronas,,cgame/cg_nitmod_coronas.c; cgame/cg_view.c,ported_partial,original-ELF-0x4a370/96-render-profiles,"Active map corona PVS, distance, direction, occlusion and scene submission. See reference/client-static-map-coronas.md."
cgame,cgame_client.c,CG_HorizontalPercentBar,,,untriaged,,
cgame,cgame_client.c,CG_TileClear,,,untriaged,,
cgame,cgame_client.c,CG_FadeColor,,,untriaged,,
cgame,cgame_client.c,CG_ColorForHealth,,,untriaged,,
cgame,cgame_client.c,CG_BubbleTrail,,,untriaged,,
cgame,cgame_client.c,CG_SmokePuff,,,untriaged,,
cgame,cgame_client.c,CG_SpawnEffect,,,untriaged,,
cgame,cgame_client.c,CG_MakeExplosion,,,untriaged,,
cgame,cgame_client.c,CG_AddBloodTrails,,,untriaged,,
cgame,cgame_client.c,CG_LoseACC,,,untriaged,,
cgame,cgame_client.c,CG_GetOriginForTag,,,untriaged,,
cgame,cgame_client.c,CG_SparklerSparks,,,untriaged,,
cgame,cgame_client.c,CG_ProjectedSpotLight,,,untriaged,,
cgame,cgame_client.c,CG_RumbleEfx,,,untriaged,,
cgame,cgame_client.c,CG_SpawnSmokeSprite,,,untriaged,,
cgame,cgame_client.c,CG_RenderSmokeGrenadeSmoke,,,untriaged,,
cgame,cgame_client.c,CG_Bomb,,,untriaged,,
cgame,cgame_client.c,CG_Cabinet_part_6,,,untriaged,,
cgame,cgame_client.c,CG_PositionEntityOnTag,,,untriaged,,
cgame,cgame_client.c,CG_SetEntitySoundPosition,,,untriaged,,
cgame,cgame_client.c,CG_ProcessEntity,,,untriaged,,
cgame,cgame_client.c,CG_Cabinet,,,untriaged,,
cgame,cgame_client.c,CG_SetupCabinets,,,untriaged,,
cgame,cgame_client.c,CG_BotDebugLine,,cgame/cg_nitmod_debug.c; cgame/cg_nitmod_events.c,ported_partial,original-ELF-0x5efe0/full-cgame-event-render-tests,"Original events 104-106: line, RGB basis and oriented box with native fade lifecycle. See reference/client-debug-vector-events.md."
cgame,cgame_client.c,CG_StartFootStepSound_isra_0_part_1,,,untriaged,,
cgame,cgame_client.c,CG_MortarImpact_part_2,,,untriaged,,
cgame,cgame_client.c,CG_PrecacheFXSounds,,,untriaged,,
cgame,cgame_client.c,CG_RubbleFx,,,untriaged,,
cgame,cgame_client.c,CG_Rubble,,,untriaged,,
cgame,cgame_client.c,CG_Explodef,,,untriaged,,
cgame,cgame_client.c,CG_Explode,,,untriaged,,
cgame,cgame_client.c,CG_Effect,,,untriaged,,
cgame,cgame_client.c,CG_Shard,,,untriaged,,
cgame,cgame_client.c,CG_ShardJunk,,,untriaged,,
cgame,cgame_client.c,CG_Debris,,,untriaged,,
cgame,cgame_client.c,CG_MortarImpact,,,untriaged,,
cgame,cgame_client.c,CG_MortarMiss,,,untriaged,,
cgame,cgame_client.c,CG_GetGameSound,,,untriaged,,
cgame,cgame_client.c,CG_SortFireTeam,,,untriaged,,
cgame,cgame_client.c,CG_SortClientFireteam,,,untriaged,,
cgame,cgame_client.c,CG_IsOnSameFireteam,,,untriaged,,
cgame,cgame_client.c,CG_IsOnFireteam,,,untriaged,,
cgame,cgame_client.c,CG_IsFireTeamLeader,,,untriaged,,
cgame,cgame_client.c,CG_SortedFireTeamPlayerForPosition,,,untriaged,,
cgame,cgame_client.c,CG_BuildSelectedFirteamString,,,untriaged,,
cgame,cgame_client.c,CG_CountFireteamsByTeam_part_0,,,untriaged,,
cgame,cgame_client.c,CG_CountFireteamsByTeam,,,untriaged,,
cgame,cgame_client.c,CG_CountPlayersSF,,,untriaged,,
cgame,cgame_client.c,CG_CountPlayersNF,,,untriaged,,
cgame,cgame_client.c,CG_ClearFlameChunks,,,untriaged,,
cgame,cgame_client.c,CG_SpawnFlameChunk,,,untriaged,,
cgame,cgame_client.c,CG_FireFlameChunks,,,untriaged,,
cgame,cgame_client.c,CG_FreeFlameChunk,,,untriaged,,
cgame,cgame_client.c,CG_MergeFlameChunks,,,untriaged,,
cgame,cgame_client.c,CG_MoveFlameChunk,,,untriaged,,
cgame,cgame_client.c,CG_UpdateFlamethrowerSounds,,,untriaged,,
cgame,cgame_client.c,CG_DemoHelpDraw_part_1,,,untriaged,,
cgame,cgame_client.c,CG_LoadingString,,,untriaged,,
cgame,cgame_client.c,CG_ShowHelp_On,,,untriaged,,
cgame,cgame_client.c,CG_ShowHelp_Off,,,untriaged,,
cgame,cgame_client.c,CG_DemoClick,,,untriaged,,
cgame,cgame_client.c,CG_GameStatsDraw,,,untriaged,,
cgame,cgame_client.c,CG_TopShotsDraw,,,untriaged,,
cgame,cgame_client.c,CG_DemoHelpDraw,,,untriaged,,
cgame,cgame_client.c,CG_getBindKeyName,,,untriaged,,
cgame,cgame_client.c,CG_SpecHelpDraw,,,untriaged,,
cgame,cgame_client.c,CG_IsHeavyWeapon,,,untriaged,,
cgame,cgame_client.c,CG_GetLocation,,,untriaged,,
cgame,cgame_client.c,CG_GetLocationMsg,,,untriaged,,
cgame,cgame_client.c,CG_LoadLocations,,,untriaged,,
cgame,cgame_client.c,CG_FreeLocalEntity,,,untriaged,,
cgame,cgame_client.c,CG_FindLocalEntity,,cgame/cg_localents.c,ported_partial,sorted-reference/full-cgame-keyed-rail-tests,"Typed group/segment lookup over active list, deliberately excludes freed slots."
cgame,cgame_client.c,CG_AllocLocalEntity,,,untriaged,,
cgame,cgame_client.c,CG_BloodTrail,,,untriaged,,
cgame,cgame_client.c,CG_FragmentBounceMark,,,untriaged,,
cgame,cgame_client.c,CG_FragmentBounceSound,,,untriaged,,
cgame,cgame_client.c,CG_ReflectVelocity,,,untriaged,,
cgame,cgame_client.c,CG_FeederCount,,,untriaged,,
cgame,cgame_client.c,CG_FeederItemImage,,,untriaged,,
cgame,cgame_client.c,CG_FeederSelection,,,untriaged,,
cgame,cgame_client.c,CG_FeederItemText,,,untriaged,,
cgame,cgame_client.c,CG_Cvar_Get,,,untriaged,,
cgame,cgame_client.c,CG_Text_PaintWithCursor,,,untriaged,,
cgame,cgame_client.c,CG_RunCinematicFrame,,,untriaged,,
cgame,cgame_client.c,CG_StopCinematic,,,untriaged,,
cgame,cgame_client.c,CG_RegisterSounds,,,untriaged,,
cgame,cgame_client.c,CG_setClientFlags_part_0,,,untriaged,,
cgame,cgame_client.c,CG_Error_constprop_3,,,untriaged,,
cgame,cgame_client.c,CG_ConfigStringCopy,,,untriaged,,
cgame,cgame_client.c,CG_RegisterCvars,,,untriaged,,
cgame,cgame_client.c,CG_UpdateCvars,,,untriaged,,
cgame,cgame_client.c,CG_setClientFlags,,,untriaged,,
cgame,cgame_client.c,CG_CrosshairPlayer,,,untriaged,,
cgame,cgame_client.c,CG_Printf,,,untriaged,,
cgame,cgame_client.c,CG_Error,,,untriaged,,
cgame,cgame_client.c,CG_nameCleanFilename,,,untriaged,,
cgame,cgame_client.c,CG_generateFilename,,,untriaged,,
cgame,cgame_client.c,CG_findClientNum,,,untriaged,,
cgame,cgame_client.c,CG_printConsoleString,,,untriaged,,
cgame,cgame_client.c,CG_LoadObjectiveData,,,untriaged,,
